School Year,Division Number,Division Name,Subject,Test Level,Test Source,Test,Total Count,Pass Rate
2007-2008,62,Nelson County,English:Reading,Grade 3,SOL,English Reading,153,77.78
2007-2008,62,Nelson County,English:Reading,Grade 4,SOL,English Reading,185,86.49
2007-2008,62,Nelson County,English:Reading,Grade 5,SOL,English Reading,133,92.48
2007-2008,62,Nelson County,English:Reading,Grade 6,SOL,English Reading,163,79.75
2007-2008,62,Nelson County,English:Reading,Grade 7,SOL,English Reading,155,87.1
2007-2008,62,Nelson County,English:Reading,Grade 8,SOL,English Reading,149,89.26
2008-2009,2,Albemarle County,English:Reading,Grade 3,SOL,English Reading,954,90.78
2008-2009,2,Albemarle County,English:Reading,Grade 4,SOL,English Reading,885,93.22
2008-2009,2,Albemarle County,English:Reading,Grade 5,SOL,English Reading,894,93.96
2008-2009,2,Albemarle County,English:Reading,Grade 6,SOL,English Reading,858,89.28
2008-2009,2,Albemarle County,English:Reading,Grade 7,SOL,English Reading,873,94.39
2008-2009,2,Albemarle County,English:Reading,Grade 8,SOL,English Reading,883,92.98
2008-2009,104,Charlottesville City,English:Reading,Grade 3,SOL,English Reading,270,87.41
2008-2009,104,Charlottesville City,English:Reading,Grade 4,SOL,English Reading,279,85.66
2008-2009,104,Charlottesville City,English:Reading,Grade 5,SOL,English Reading,232,84.91
2008-2009,104,Charlottesville City,English:Reading,Grade 6,SOL,English Reading,235,84.26
2008-2009,104,Charlottesville City,English:Reading,Grade 7,SOL,English Reading,228,86.84
2008-2009,104,Charlottesville City,English:Reading,Grade 8,SOL,English Reading,247,78.14
2008-2009,32,Fluvanna County,English:Reading,Grade 3,SOL,English Reading,257,81.71
2008-2009,32,Fluvanna County,English:Reading,Grade 4,SOL,English Reading,262,88.93
2008-2009,32,Fluvanna County,English:Reading,Grade 5,SOL,English Reading,271,89.3
2008-2009,32,Fluvanna County,English:Reading,Grade 6,SOL,English Reading,284,89.08
2008-2009,32,Fluvanna County,English:Reading,Grade 7,SOL,English Reading,235,94.04
2008-2009,32,Fluvanna County,English:Reading,Grade 8,SOL,English Reading,283,90.11
2008-2009,39,Greene County,English:Reading,Grade 3,SOL,English Reading,236,77.97
2008-2009,39,Greene County,English:Reading,Grade 4,SOL,English Reading,231,80.52
2008-2009,39,Greene County,English:Reading,Grade 5,SOL,English Reading,192,83.33
2008-2009,39,Greene County,English:Reading,Grade 6,SOL,English Reading,206,78.16
2008-2009,39,Greene County,English:Reading,Grade 7,SOL,English Reading,202,76.73
2008-2009,39,Greene County,English:Reading,Grade 8,SOL,English Reading,190,82.63
2008-2009,54,Louisa County,English:Reading,Grade 3,SOL,English Reading,321,84.42
2008-2009,54,Louisa County,English:Reading,Grade 4,SOL,English Reading,267,88.39
2008-2009,54,Louisa County,English:Reading,Grade 5,SOL,English Reading,337,91.99
2008-2009,54,Louisa County,English:Reading,Grade 6,SOL,English Reading,322,86.02
2008-2009,54,Louisa County,English:Reading,Grade 7,SOL,English Reading,301,89.37
2008-2009,54,Louisa County,English:Reading,Grade 8,SOL,English Reading,346,86.42
2008-2009,62,Nelson County,English:Reading,Grade 3,SOL,English Reading,140,85.71
2008-2009,62,Nelson County,English:Reading,Grade 4,SOL,English Reading,140,87.14
2008-2009,62,Nelson County,English:Reading,Grade 5,SOL,English Reading,156,90.38
2008-2009,62,Nelson County,English:Reading,Grade 6,SOL,English Reading,123,87.8
2008-2009,62,Nelson County,English:Reading,Grade 7,SOL,English Reading,146,89.73
2008-2009,62,Nelson County,English:Reading,Grade 8,SOL,English Reading,143,82.52
2009-2010,2,Albemarle County,English:Reading,Grade 3,SOL,English Reading,941,87.25
2009-2010,2,Albemarle County,English:Reading,Grade 4,SOL,English Reading,980,92.65
