"School Year","Subject","Test Level","Test Source","Test","Pass Advanced Count","Pass Proficient Count","Fail Count","Pass Count","Total Count","Pass Advanced Rate","Pass Proficient Rate","Fail Rate","Pass Rate","Average SOL Scaled Score"
"2014-2015","English:Reading","Grade 6","SOL","English Reading","16,206","53,434","21,682","69,640","91,322","17.75","58.51","23.74","76.26","439"
"2014-2015","English:Reading","Grade 7","SOL","English Reading","18,042","56,325","17,348","74,367","91,715","19.67","61.41","18.92","81.08","446"
"2014-2015","English:Reading","Grade 8","SOL","English Reading","9,816","59,760","22,975","69,576","92,551","10.61","64.57","24.82","75.18","431"
"2015-2016","English:Reading","Grade 3","SOL","English Reading","13,599","57,723","23,006","71,322","94,328","14.42","61.19","24.39","75.61","432"
"2015-2016","English:Reading","Grade 4","SOL","English Reading","17,749","54,524","21,451","72,273","93,724","18.94","58.18","22.89","77.11","439"
"2015-2016","English:Reading","Grade 5","SOL","English Reading","23,335","51,439","17,837","74,774","92,611","25.20","55.54","19.26","80.74","452"
"2015-2016","English:Reading","Grade 6","SOL","English Reading","19,001","52,810","21,205","71,811","93,016","20.43","56.78","22.80","77.20","445"
"2015-2016","English:Reading","Grade 7","SOL","English Reading","14,792","60,332","16,423","75,124","91,547","16.16","65.90","17.94","82.06","441"
"2015-2016","English:Reading","Grade 8","SOL","English Reading","11,749","57,539","22,895","69,288","92,183","12.75","62.42","24.84","75.16","433"
"2016-2017","English:Reading","Grade 3","SOL","English Reading","16,288","53,902","24,445","70,190","94,635","17.21","56.96","25.83","74.17","433"
"2016-2017","English:Reading","Grade 4","SOL","English Reading","20,166","55,293","20,430","75,459","95,889","21.03","57.66","21.31","78.69","444"
"2016-2017","English:Reading","Grade 5","SOL","English Reading","23,523","53,288","17,462","76,811","94,273","24.95","56.53","18.52","81.48","452"
"2016-2017","English:Reading","Grade 6","SOL","English Reading","19,886","52,595","20,330","72,481","92,811","21.43","56.67","21.90","78.10","444"
"2016-2017","English:Reading","Grade 7","SOL","English Reading","15,748","60,670","16,737","76,418","93,155","16.91","65.13","17.97","82.03","443"
"2016-2017","English:Reading","Grade 8","SOL","English Reading","13,589","56,119","22,294","69,708","92,002","14.77","61.00","24.23","75.77","434"
"2017-2018","English:Reading","Grade 3","SOL","English Reading","16,483","52,026","26,388","68,509","94,897","17.37","54.82","27.81","72.19","430"
"2017-2018","English:Reading","Grade 4","SOL","English Reading","17,822","56,278","23,203","74,100","97,303","18.32","57.84","23.85","76.15","437"
"2017-2018","English:Reading","Grade 5","SOL","English Reading","23,075","54,815","19,799","77,890","97,689","23.62","56.11","20.27","79.73","447"
"2017-2018","English:Reading","Grade 6","SOL","English Reading","16,751","59,594","19,252","76,345","95,597","17.52","62.34","20.14","79.86","441"
"2017-2018","English:Reading","Grade 7","SOL","English Reading","16,588","59,575","17,965","76,163","94,128","17.62","63.29","19.09","80.91","443"
"2017-2018","English:Reading","Grade 8","SOL","English Reading","11,599","61,380","21,630","72,979","94,609","12.26","64.88","22.86","77.14","432"
"2018-2019","English:Reading","Grade 3","SOL","English Reading","14,880","50,211","27,562","65,091","92,653","16.06","54.19","29.75","70.25","426"
"2018-2019","English:Reading","Grade 4","SOL","English Reading","16,202","55,228","23,593","71,430","95,023","17.05","58.12","24.83","75.17","433"
"2018-2019","English:Reading","Grade 5","SOL","English Reading","21,727","54,536","21,424","76,263","97,687","22.24","55.83","21.93","78.07","443"
"2018-2019","English:Reading","Grade 6","SOL","English Reading","15,666","59,710","22,184","75,376","97,560","16.06","61.20","22.74","77.26","436"
"2018-2019","English:Reading","Grade 7","SOL","English Reading","15,289","60,528","19,789","75,817","95,606","15.99","63.31","20.70","79.30","439"
"2018-2019","English:Reading","Grade 8","SOL","English Reading","10,321","61,224","22,686","71,545","94,231","10.95","64.97","24.07","75.93","429"
