School Year,Level,Division Number,Division Name,School Number,School Name,Subject,Grade,Test Level,Test Source,Test,Pass Count,Total Count,Pass Rate
2005-2006,School,104,Charlottesville City,120,Jackson - Via Elementary,English:Reading,3,Grade 3,SOL,English Reading,28,41,68.29
2005-2006,School,104,Charlottesville City,10,Johnson Elementary,English:Reading,3,Grade 3,SOL,English Reading,35,51,68.63
2005-2006,School,104,Charlottesville City,40,Venable Elementary,English:Reading,3,Grade 3,SOL,English Reading,45,47,95.74
2005-2006,Division,104,Charlottesville City,,,English:Reading,3,Grade 3,SOL,English Reading,218,281,77.58
2005-2006,Division,104,Charlottesville City,,,English:Reading,8,Grade 8,SOL,English Reading,177,296,59.80
2005-2006,School,32,Fluvanna County,300,Central Elementary,English:Reading,3,Grade 3,SOL,English Reading,213,276,77.17
2005-2006,School,32,Fluvanna County,20,Fluvanna Middle,English:Reading,8,Grade 8,SOL,English Reading,210,272,77.21
2005-2006,Division,32,Fluvanna County,,,English:Reading,3,Grade 3,SOL,English Reading,214,277,77.26
2005-2006,Division,32,Fluvanna County,,,English:Reading,8,Grade 8,SOL,English Reading,212,276,76.81
2005-2006,School,39,Greene County,20,Nathanael Greene Elementary,English:Reading,3,Grade 3,SOL,English Reading,95,116,81.90
2005-2006,School,39,Greene County,30,Ruckersville Elementary,English:Reading,3,Grade 3,SOL,English Reading,72,95,75.79
2005-2006,School,39,Greene County,71,William Monroe Middle,English:Reading,8,Grade 8,SOL,English Reading,140,198,70.71
2005-2006,Division,39,Greene County,,,English:Reading,3,Grade 3,SOL,English Reading,167,211,79.15
2005-2006,Division,39,Greene County,,,English:Reading,8,Grade 8,SOL,English Reading,143,203,70.44
2005-2006,School,54,Louisa County,660,Jouett Elementary,English:Reading,3,Grade 3,SOL,English Reading,80,97,82.47
2005-2006,School,54,Louisa County,601,Louisa County Middle,English:Reading,8,Grade 8,SOL,English Reading,260,343,75.80
2005-2006,School,54,Louisa County,610,Thomas Jefferson Elementary,English:Reading,3,Grade 3,SOL,English Reading,81,92,88.04
2005-2006,School,54,Louisa County,641,Trevilians Elementary,English:Reading,3,Grade 3,SOL,English Reading,72,95,75.79
2005-2006,Division,54,Louisa County,,,English:Reading,3,Grade 3,SOL,English Reading,233,284,82.04
2005-2006,Division,54,Louisa County,,,English:Reading,8,Grade 8,SOL,English Reading,260,345,75.36
2005-2006,School,62,Nelson County,730,Nelson Middle,English:Reading,8,Grade 8,SOL,English Reading,110,132,83.33
2005-2006,School,62,Nelson County,10,Rockfish River Elementary,English:Reading,3,Grade 3,SOL,English Reading,45,49,91.84
2005-2006,School,62,Nelson County,20,Tye River Elementary,English:Reading,3,Grade 3,SOL,English Reading,61,72,84.72
2005-2006,Division,62,Nelson County,,,English:Reading,3,Grade 3,SOL,English Reading,106,122,86.89
2005-2006,Division,62,Nelson County,,,English:Reading,8,Grade 8,SOL,English Reading,110,133,82.71
2006-2007,School,2,Albemarle County,160,Agnor-Hurt Elementary,English:Reading,3,Grade 3,SOL,English Reading,43,52,82.69
2006-2007,School,2,Albemarle County,1053,Baker-Butler Elementary,English:Reading,3,Grade 3,SOL,English Reading,73,86,84.88
2006-2007,School,2,Albemarle County,900,Benjamin F. Yancey Elementary,English:Reading,3,Grade 3,SOL,English Reading,11,24,45.83
2006-2007,School,2,Albemarle County,100,Broadus Wood Elementary,English:Reading,3,Grade 3,SOL,English Reading,43,49,87.76
2006-2007,School,2,Albemarle County,941,Brownsville Elementary,English:Reading,3,Grade 3,SOL,English Reading,50,62,80.65
2006-2007,School,2,Albemarle County,340,Crozet Elementary,English:Reading,3,Grade 3,SOL,English Reading,66,75,88.00
2006-2007,School,2,Albemarle County,10,Hollymead Elementary,English:Reading,3,Grade 3,SOL,English Reading,69,74,93.24
2006-2007,School,2,Albemarle County,950,Jack Jouett Middle,English:Reading,8,Grade 8,SOL,English Reading,143,165,86.67
2006-2007,School,2,Albemarle County,69,Jackson P. Burley Middle,English:Reading,8,Grade 8,SOL,English Reading,127,165,76.97
2006-2007,School,2,Albemarle County,942,Joseph T. Henley Middle,English:Reading,8,Grade 8,SOL,English Reading,199,227,87.67
2006-2007,School,2,Albemarle County,20,Leslie H. Walton Middle,English:Reading,8,Grade 8,SOL,English Reading,111,148,75.00
2006-2007,School,2,Albemarle County,40,Mary Carr Greer Elementary,English:Reading,3,Grade 3,SOL,English Reading,43,60,71.67
2006-2007,School,2,Albemarle County,250,Meriwether Lewis Elementary,English:Reading,3,Grade 3,SOL,English Reading,72,77,93.51
2006-2007,School,2,Albemarle County,1051,Mortimer Y. Sutherland Middle,English:Reading,8,Grade 8,SOL,English Reading,188,205,91.71
2006-2007,School,2,Albemarle County,150,Paul H. Cale Elementary,English:Reading,3,Grade 3,SOL,English Reading,66,78,84.62
2006-2007,School,2,Albemarle County,540,Red Hill Elementary,English:Reading,3,Grade 3,SOL,English Reading,28,32,87.50
2006-2007,School,2,Albemarle County,30,Scottsville Elementary,English:Reading,3,Grade 3,SOL,English Reading,21,23,91.30
2006-2007,School,2,Albemarle County,920,Stone Robinson Elementary,English:Reading,3,Grade 3,SOL,English Reading,62,73,84.93
2006-2007,School,2,Albemarle County,240,Stony Point Elementary,English:Reading,3,Grade 3,SOL,English Reading,35,40,87.50
2006-2007,School,2,Albemarle County,910,Virginia L. Murray Elementary,English:Reading,3,Grade 3,SOL,English Reading,44,44,100.00
2006-2007,School,2,Albemarle County,930,Woodbrook Elementary,English:Reading,3,Grade 3,SOL,English Reading,29,43,67.44
2006-2007,Division,2,Albemarle County,,,English:Reading,3,Grade 3,SOL,English Reading,755,894,84.45
2006-2007,Division,2,Albemarle County,,,English:Reading,8,Grade 8,SOL,English Reading,769,920,83.59
